Name,Platform,Genre,Release,Publisher,NA_Sales,JP_Sales,Critic_Score,Critic_Count,Developer,User_Score,User_Count
Trauma Center: New Blood,Wii,Simulation,2007.0,Nintendo,22,1,77.0,43.0,Atlus,8,20.0
New Play Control! Donkey Kong Jungle Beat,Wii,Platform,2008.0,Nintendo,23,14,nan,nan,nan,nan,nan
New Play Control! Pikmin 2,Wii,Strategy,2009.0,Nintendo,11,33,nan,nan,nan,nan,nan
The Legend of Zelda: Twilight Princess,Wii,Action,2006.0,Nintendo,374,60,95.0,73.0,Nintendo,9,1658.0
Dragon Ball Z: Budokai Tenkaichi 3,Wii,Fighting,2007.0,Atari,32,26,72.0,27.0,"Spike, Namco Bandai Games",8.4,61.0
Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,Action,2009.0,Square Enix,21,8,66.0,53.0,Square Enix,7.6,70.0
Mario & Sonic at the Olympic Games,Wii,Sports,2007.0,Sega,257,66,nan,nan,nan,nan,nan
Kororinpa: Marble Mania,Wii,Puzzle,2006.0,Nintendo,8,3,69.0,39.0,Hudson,8.7,21.0
Pirates of the Caribbean: At World's End,Wii,Action,2007.0,Disney Interactive Studios,39,1,53.0,17.0,Eurocom Entertainment Software,7.2,17.0
Let's TAP,Wii,Misc,2008.0,Sega,8,1,70.0,47.0,Prope,6.6,11.0
Fortune Street,Wii,Misc,2011.0,Nintendo,25,17,68.0,42.0,Marvelous AQL,7.5,24.0
New Play Control! Mario Power Tennis,Wii,Sports,2009.0,Nintendo,35,28,nan,nan,nan,nan,nan
Metroid: Other M,Wii,Action,2010.0,Nintendo,85,13,79.0,71.0,Team Ninja,6.5,482.0
We Ski & Snowboard,Wii,Sports,2008.0,Atari,38,15,nan,nan,nan,nan,nan
Super Monkey Ball: Banana Blitz,Wii,Misc,2006.0,Sega,105,4,74.0,53.0,Sega,5.7,72.0
Battalion Wars 2,Wii,Strategy,2007.0,Nintendo,22,8,75.0,38.0,Kuju Entertainment,7.6,45.0
Fire Emblem: Radiant Dawn,Wii,Strategy,2007.0,Nintendo,27,17,78.0,36.0,Intelligent Systems,8.7,180.0
Xenoblade Chronicles,Wii,Role-Playing,2010.0,Nintendo,43,16,92.0,59.0,Monolith Soft,8.9,950.0
Kirby's Return to Dreamland,Wii,Platform,2011.0,Nintendo,57,79,77.0,49.0,HAL Labs,8.5,156.0
Mario & Sonic at the Olympic Winter Games,Wii,Sports,2009.0,Sega,187,22,nan,nan,nan,nan,nan
Samba De Amigo,Wii,Misc,2008.0,Sega,41,1,68.0,43.0,Gearbox Software,8.1,40.0
Mario & Sonic at the London 2012 Olympic Games,Wii,Sports,2011.0,Sega,112,27,nan,nan,nan,nan,nan
Cooking Mama: World Kitchen,Wii,Simulation,2008.0,505 Games,51,1,62.0,17.0,Cooking Mama Limited,4.9,12.0
Endless Ocean: Blue World,Wii,Simulation,2009.0,Nintendo,46,12,76.0,42.0,Arika,8.5,26.0
Final Fantasy Crystal Chronicles: Echoes of Time,Wii,Role-Playing,2009.0,Square Enix,13,5,64.0,29.0,Square Enix,5.6,11.0
Kirby's Dream Collection: Special Edition,Wii,Action,2012.0,Nintendo,33,33,82.0,6.0,HAL Labs,8.8,37.0
Okami,Wii,Action,2008.0,Capcom,43,4,90.0,44.0,Ready at Dawn,8.9,236.0
New Super Mario Bros. Wii,Wii,Platform,2009.0,Nintendo,1444,470,87.0,80.0,Nintendo,8.4,594.0
Wii Play: Motion,Wii,Misc,2011.0,Nintendo,23,18,60.0,34.0,Nintendo,6.1,16.0
Donkey Kong Barrel Blast,Wii,Racing,2007.0,Nintendo,19,11,46.0,34.0,Paon Corporation,6.8,26.0
Donkey Kong Country Returns,Wii,Platform,2010.0,Nintendo,317,103,87.0,77.0,Retro Studios,8.6,368.0
Sonic Colors,Wii,Platform,2010.0,Sega,92,1,78.0,58.0,Sonic Team,8.5,301.0
Wario Land: Shake It!,Wii,Platform,2008.0,Nintendo,59,15,nan,nan,nan,nan,nan
Pandora's Tower,Wii,Role-Playing,2011.0,Nintendo,11,8,73.0,48.0,Ganbarion,8,99.0
Super Swing Golf,Wii,Sports,2006.0,Nintendo,14,7,72.0,44.0,"Tecmo, Ntreev Soft",7.8,15.0
Wii Party,Wii,Misc,2010.0,Nintendo,175,249,68.0,42.0,Nd Cube,7.4,54.0
Epic Mickey,Wii,Platform,2010.0,Disney Interactive Studios,204,12,73.0,78.0,Junction Point,7,131.0
The Last Story,Wii,Role-Playing,2011.0,Nintendo,30,18,80.0,61.0,"Mistwalker, Artoon",8.4,179.0
PokéPark Wii: Pikachu's Adventure,Wii,Adventure,2009.0,Nintendo,53,42,62.0,22.0,Creatures Inc.,7.2,36.0
Super Mario Galaxy 2,Wii,Platform,2010.0,Nintendo,356,98,97.0,87.0,Nintendo EAD Tokyo,9.1,1854.0
Super Smash Bros. Brawl,Wii,Fighting,2008.0,Nintendo,662,266,93.0,81.0,Game Arts,8.9,1662.0
Mario Sports Mix,Wii,Sports,2010.0,Nintendo,88,63,64.0,54.0,Square Enix,7.1,34.0
Arc Rise Fantasia,Wii,Role-Playing,2009.0,Marvelous Interactive,12,6,64.0,26.0,"Image Epoch, Imageepoch",7.8,43.0
Star Fox: Zero,WiiU,Shooter,2016.0,Nintendo,17,7,69.0,82.0,PlatinumGames,7.4,662.0
Resident Evil: Revelations,WiiU,Action,2013.0,Capcom,7,3,80.0,19.0,Capcom,7.5,146.0
Pikmin 3,WiiU,Strategy,2013.0,Nintendo,44,28,87.0,79.0,Nintendo,8.7,664.0
Shin Megami Tensei x Fire Emblem,WiiU,Role-Playing,2015.0,Nintendo,12,6,nan,nan,nan,nan,nan
New Super Luigi U,WiiU,Platform,2013.0,Nintendo,125,18,77.0,59.0,Nintendo,7.9,288.0
The LEGO Movie Videogame,WiiU,Action,2014.0,Warner Bros. Interactive Entertainment,33,3,68.0,5.0,TT Games,7.7,25.0
Nintendo Land,WiiU,Misc,2012.0,Nintendo,252,46,77.0,61.0,Nintendo,7.9,471.0
Epic Mickey 2: The Power of Two,WiiU,Action,2012.0,Disney Interactive Studios,13,1,57.0,14.0,Junction Point,5.6,46.0
Captain Toad: Treasure Tracker,WiiU,Puzzle,2014.0,Nintendo,53,19,81.0,78.0,Nintendo EAD Tokyo,8.6,377.0
Xenoblade Chronicles X,WiiU,Role-Playing,2015.0,Nintendo,36,14,84.0,87.0,Monolith Soft,8.9,1548.0
Super Smash Bros. for Wii U and 3DS,WiiU,Fighting,2014.0,Nintendo,260,81,nan,nan,nan,nan,nan
Minecraft,WiiU,Misc,2016.0,Microsoft Game Studios,28,18,nan,nan,nan,nan,nan
Animal Crossing: Amiibo Festival,WiiU,Misc,2015.0,Nintendo,19,9,46.0,20.0,"Nintendo, Nd Cube",4.4,173.0
Mario Party 10,WiiU,Misc,2015.0,Nintendo,69,24,66.0,66.0,"Nintendo, Nd Cube",6.5,279.0
Super Mario 3D World,WiiU,Platform,2013.0,Nintendo,211,73,93.0,83.0,Nintendo,9,1607.0
LEGO City Undercover,WiiU,Platform,2013.0,Nintendo,47,13,80.0,66.0,TT Games,8.2,283.0
Bayonetta 2,WiiU,Action,2014.0,Nintendo,32,10,91.0,80.0,PlatinumGames,8.2,1217.0
Wii Party U,WiiU,Misc,2013.0,Nintendo,30,84,65.0,38.0,Nd Cube,6.8,135.0
Paper Mario: Color Splash,WiiU,Role-Playing,2016.0,Nintendo,20,5,75.0,72.0,"Nintendo, Intelligent Systems",6.8,208.0
LEGO Jurassic World,WiiU,Action,2015.0,Warner Bros. Interactive Entertainment,27,2,71.0,5.0,TT Games,8.1,14.0
Sonic Lost World,WiiU,Platform,2013.0,Sega,23,1,63.0,64.0,Sonic Team,7.3,461.0
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,Sports,2013.0,Nintendo,37,13,nan,nan,nan,nan,nan
The Wonderful 101,WiiU,Action,2013.0,Nintendo,19,8,78.0,75.0,PlatinumGames,8.5,495.0
Game & Wario,WiiU,Misc,2013.0,Nintendo,5,12,nan,nan,nan,nan,nan
Lego Star Wars: The Force Awakens,WiiU,Action,2016.0,Warner Bros. Interactive Entertainment,6,1,74.0,6.0,TT Games,8,11.0
NES Remix,WiiU,Action,2014.0,Nintendo,17,8,71.0,34.0,Indies Zero,7.1,133.0
The Legend of Zelda: Twilight Princess HD,WiiU,Action,2016.0,Nintendo,56,8,86.0,74.0,"Tantalus Interactive, Tantatus, Nintendo",8.4,329.0
New Super Mario Bros. U,WiiU,Platform,2012.0,Nintendo,229,127,84.0,70.0,Nintendo,8.1,733.0
Splatoon,WiiU,Shooter,2015.0,Nintendo,154,146,81.0,88.0,Nintendo,8.5,1184.0
Yoshi's Woolly World,WiiU,Platform,2015.0,Nintendo,62,11,78.0,83.0,Good-Feel,8.5,376.0
Mario Tennis Ultra Smash,WiiU,Sports,2015.0,Nintendo,13,14,58.0,58.0,"Nintendo, Camelot Software Planning",5.3,133.0
Hyrule Warriors,WiiU,Action,2014.0,Nintendo,57,13,76.0,81.0,Omega Force,8.3,662.0
Sonic & All-Stars Racing Transformed,WiiU,Racing,2012.0,Sega,19,2,nan,nan,nan,nan,nan
Wii Sports Club,WiiU,Sports,2014.0,Nintendo,17,4,68.0,21.0,Nintendo,7,106.0
Super Mario Maker,WiiU,Platform,2015.0,Nintendo,118,94,88.0,85.0,Nintendo,8.7,691.0
Mario Kart 8,WiiU,Racing,2014.0,Nintendo,315,128,88.0,82.0,Nintendo,9.1,1599.0
LEGO Marvel Super Heroes,WiiU,Action,2013.0,Warner Bros. Interactive Entertainment,31,2,82.0,8.0,TT Games,8,71.0
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,Action,2016.0,Nintendo,7,11,nan,nan,nan,nan,nan
The Legend of Zelda: The Wind Waker,WiiU,Action,2013.0,Nintendo,92,14,nan,nan,nan,nan,nan
Crash Bandicoot 2: Cortex Strikes Back,PS,Platform,1997.0,Sony Computer Entertainment,378,131,nan,nan,nan,nan,nan
Grand Theft Auto,PS,Action,1997.0,Take-Two Interactive,79,4,nan,nan,nan,nan,nan
WCW Nitro,PS,Fighting,1998.0,THQ,142,3,nan,nan,nan,nan,nan
Battle Arena Toshinden 2,PS,Fighting,1995.0,Sony Computer Entertainment,15,41,nan,nan,nan,nan,nan
Hot Shots Golf,PS,Sports,1997.0,Sony Computer Entertainment,28,213,nan,nan,nan,nan,nan
Persona 2: Eternal Punishment,PS,Role-Playing,2000.0,Atlus,3,28,83.0,11.0,Atlus Co.,8.4,25.0
Beyond The Beyond,PS,Role-Playing,1995.0,Sony Computer Entertainment,11,35,nan,nan,nan,nan,nan
Legend of Mana,PS,Role-Playing,1999.0,SquareSoft,18,73,nan,nan,nan,nan,nan
Monster Rancher,PS,Simulation,1997.0,Tecmo Koei,12,74,86.0,5.0,Tecmo,8.3,10.0
Bomberman World,PS,Puzzle,1998.0,Sony Computer Entertainment,6,22,nan,nan,nan,nan,nan
Front Mission 3,PS,Strategy,1999.0,SquareSoft,10,31,nan,nan,nan,nan,nan
Mega Man X5,PS,Platform,2000.0,Capcom,30,20,76.0,10.0,Capcom,8.9,55.0
Space Griffon VF-9,PS,Role-Playing,1995.0,Panther Software,2,12,nan,nan,nan,nan,nan
Gran Turismo 2,PS,Racing,1999.0,Sony Computer Entertainment,388,169,93.0,23.0,Polyphony Digital,9,135.0
Devil Dice,PS,Puzzle,1998.0,THQ,5,110,nan,nan,nan,nan,nan
Um Jammer Lammy,PS,Misc,1998.0,Sony Computer Entertainment,12,41,nan,nan,nan,nan,nan
Lunar: Silver Star Story Complete,PS,Role-Playing,1998.0,Kadokawa Shoten,27,6,78.0,15.0,Game Arts,9.1,35.0
Mega Man Legends 2,PS,Adventure,2000.0,Capcom,17,10,76.0,10.0,Capcom,8.8,29.0
Ace Combat 3: Electrosphere,PS,Simulation,1999.0,Sony Computer Entertainment,22,40,nan,nan,nan,nan,nan
Cool Boarders 2,PS,Sports,1997.0,UEP Systems,152,20,nan,nan,nan,nan,nan
Namco Museum Vol.2,PS,Misc,1996.0,Sony Computer Entertainment,3,21,nan,nan,nan,nan,nan
The Legend of Dragoon,PS,Role-Playing,1999.0,Sony Computer Entertainment,94,39,74.0,12.0,SCEI,8.4,248.0
Jumping Flash!,PS,Platform,1995.0,Sony Computer Entertainment,5,21,nan,nan,nan,nan,nan
Crash Bandicoot 3: Warped,PS,Platform,1998.0,Sony Computer Entertainment,368,142,91.0,12.0,Naughty Dog,8.9,432.0
Parasite Eve,PS,Role-Playing,1998.0,SquareSoft,94,105,81.0,17.0,SquareSoft,8.9,89.0
Dragon Quest VII: Warriors of Eden,PS,Role-Playing,2000.0,Enix Corporation,20,409,nan,nan,nan,nan,nan
Spyro 2: Ripto's Rage!,PS,Platform,1999.0,Sony Computer Entertainment,214,1,nan,nan,nan,nan,nan
Rage Racer,PS,Racing,1996.0,Sony Computer Entertainment,16,83,nan,nan,nan,nan,nan
Armored Core,PS,Simulation,1997.0,Sony Computer Entertainment,13,16,nan,nan,nan,nan,nan
Battle Arena Toshinden,PS,Fighting,1994.0,Sony Computer Entertainment,39,53,69.0,4.0,Tamsoft,6.3,4.0
Tokyo Highway Battle,PS,Racing,1996.0,Jaleco,6,21,nan,nan,nan,nan,nan
WWF SmackDown!,PS,Fighting,2000.0,THQ,200,6,nan,nan,nan,nan,nan
Valkyrie Profile,PS,Role-Playing,1999.0,Enix Corporation,7,63,81.0,8.0,Tri-Ace,8.8,37.0
Air Combat,PS,Simulation,1995.0,Sony Computer Entertainment,92,52,nan,nan,nan,nan,nan
Intelligent Qube,PS,Puzzle,1997.0,Sony Computer Entertainment,13,100,nan,nan,nan,nan,nan
Namco Museum Vol.1,PS,Misc,1995.0,Sony Computer Entertainment,212,22,nan,nan,nan,nan,nan
Echo Night,PS,Adventure,1998.0,From Software,3,7,nan,nan,nan,nan,nan
Monster Rancher 2,PS,Simulation,1998.0,Sony Computer Entertainment,19,66,83.0,6.0,Tecmo,nan,nan
Cool Boarders,PS,Sports,1996.0,Sony Computer Entertainment,10,24,nan,nan,nan,nan,nan
WCW/NWO Thunder,PS,Fighting,1998.0,THQ,110,4,nan,nan,nan,nan,nan
Fighter Maker,PS,Fighting,1998.0,Agetec,5,7,nan,nan,nan,nan,nan
X-Men vs. Street Fighter,PS,Fighting,1997.0,Capcom,16,12,nan,nan,nan,nan,nan
Mega Man Legends,PS,Adventure,1997.0,Capcom,39,12,nan,nan,nan,nan,nan
Epidemic,PS,Shooter,1995.0,Sony Computer Entertainment,2,10,nan,nan,nan,nan,nan
Bust A Groove,PS,Misc,1998.0,Sony Computer Entertainment,9,35,nan,nan,nan,nan,nan
WWF SmackDown! 2: Know Your Role,PS,Fighting,2000.0,THQ,176,7,nan,nan,nan,nan,nan
A-Train,PS,Simulation,1995.0,Sony Computer Entertainment,2,4,nan,nan,nan,nan,nan
Jumping Flash! 2,PS,Platform,1996.0,Sony Computer Entertainment,5,15,nan,nan,nan,nan,nan
Omega Boost,PS,Shooter,1999.0,Sony Computer Entertainment,17,20,nan,nan,nan,nan,nan
Dino Crisis,PS,Action,1998.0,Capcom,81,70,nan,nan,nan,nan,nan
Final Fantasy VIII,PS,Role-Playing,1999.0,SquareSoft,227,363,90.0,24.0,SquareSoft,8.6,644.0
Driver 2,PS,Action,2000.0,Atari,236,2,62.0,14.0,Reflections Interactive,7.7,92.0
SaGa Frontier 2,PS,Role-Playing,1999.0,SquareSoft,10,71,nan,nan,nan,nan,nan
Gran Turismo,PS,Racing,1997.0,Sony Computer Entertainment,401,254,96.0,16.0,Polyphony Digital,8.7,138.0
Romance of the Three Kingdoms IV: Wall of Fire,PS,Strategy,1995.0,Tecmo Koei,5,4,nan,nan,nan,nan,nan
Syphon Filter 2,PS,Shooter,2000.0,Sony Computer Entertainment,150,2,nan,nan,nan,nan,nan
Ape Escape,PS,Platform,1999.0,Sony Computer Entertainment,71,32,90.0,19.0,SCEI,8.8,53.0
Rival Schools: United By Fate,PS,Fighting,1998.0,Capcom,12,28,nan,nan,nan,nan,nan
Shadow Tower,PS,Role-Playing,1998.0,From Software,1,7,nan,nan,nan,nan,nan
World of Dragon Warrior - Torneko: The Last Hope,PS,Role-Playing,1999.0,Enix Corporation,2,57,nan,nan,nan,nan,nan
Chrono Cross,PS,Role-Playing,1999.0,SquareSoft,62,69,94.0,16.0,SquareSoft,8.1,297.0
Tobal No.1,PS,Fighting,1996.0,Sony Computer Entertainment,12,66,nan,nan,nan,nan,nan
Armored Core: Project Phantasma,PS,Simulation,1997.0,From Software,6,15,nan,nan,nan,nan,nan
Hot Shots Golf 2,PS,Sports,1999.0,Sony Computer Entertainment,25,148,nan,nan,nan,nan,nan
Final Fantasy IX,PS,Role-Playing,2000.0,SquareSoft,162,278,94.0,22.0,SquareSoft,8.9,779.0
Kileak: The DNA Imperative,PS,Shooter,1994.0,Sony Computer Entertainment,8,21,nan,nan,nan,nan,nan
Xevious 3D/G+,PS,Shooter,1997.0,Sony Computer Entertainment,1,11,nan,nan,nan,nan,nan
Wild ARMs 2,PS,Role-Playing,1999.0,Sony Computer Entertainment,19,31,nan,nan,nan,nan,nan
Star Wars Episode I: The Phantom Menace,PS,Adventure,1999.0,LucasArts,72,4,nan,nan,nan,nan,nan
Gallop Racer (JP),PS,Sports,1996.0,Tecmo Koei,4,16,nan,nan,nan,nan,nan
Tekken 3,PS,Fighting,1998.0,Sony Computer Entertainment,327,140,96.0,15.0,Namco,9.1,367.0
Vagrant Story,PS,Role-Playing,2000.0,Crave Entertainment,30,30,92.0,19.0,SquareSoft,8.3,129.0
Jet Moto,PS,Racing,1996.0,Sony Computer Entertainment,133,3,nan,nan,nan,nan,nan
Crash Bandicoot,PS,Platform,1996.0,Sony Computer Entertainment,323,94,nan,nan,nan,nan,nan
Bushido Blade 2,PS,Fighting,1998.0,SquareSoft,25,22,nan,nan,nan,nan,nan
Dragonseeds,PS,Action,1998.0,Jaleco,3,4,nan,nan,nan,nan,nan
Tekken 2,PS,Fighting,1996.0,Sony Computer Entertainment,225,136,89.0,8.0,Namco,8.9,102.0
Armored Core: Master of Arena,PS,Simulation,1999.0,From Software,7,13,nan,nan,nan,nan,nan
Ogre Battle Saga Episode Five: The March of the Black Queen,PS,Role-Playing,1996.0,ArtDink,6,9,nan,nan,nan,nan,nan
Crash Bash,PS,Misc,2000.0,Sony Computer Entertainment,156,19,68.0,12.0,Eurocom Entertainment Software,8.2,99.0
Soul Edge,PS,Fighting,1996.0,Sony Computer Entertainment,61,46,nan,nan,nan,nan,nan
Mega Man X6,PS,Action,2001.0,Capcom,14,16,65.0,14.0,Capcom,6.8,44.0
Bust A Groove 2,PS,Misc,1999.0,Enix Corporation,4,18,66.0,8.0,Metro,8.9,35.0
Namco Museum Vol.5,PS,Misc,1996.0,Sony Computer Entertainment,2,12,nan,nan,nan,nan,nan
Mortal Kombat 3,PS,Fighting,1995.0,Sony Computer Entertainment,28,2,nan,nan,nan,nan,nan
Star Ocean: The Second Story,PS,Role-Playing,1998.0,Sony Computer Entertainment,26,72,80.0,13.0,Tri-Ace,8.5,44.0
Crash Team Racing,PS,Racing,1999.0,Sony Computer Entertainment,257,44,88.0,20.0,Naughty Dog,9,233.0
Breath of Fire IV,PS,Role-Playing,2000.0,Capcom,11,34,83.0,10.0,Capcom,8.9,45.0
Carnage Heart,PS,Strategy,1995.0,Sony Computer Entertainment,1,9,nan,nan,nan,nan,nan
Xenogears,PS,Role-Playing,1998.0,SquareSoft,28,89,84.0,15.0,SquareSoft,8.4,204.0
Cool Boarders 3,PS,Sports,1998.0,989 Studios,165,10,nan,nan,nan,nan,nan
Point Blank,PS,Shooter,1997.0,Sony Computer Entertainment,5,23,nan,nan,nan,nan,nan
Namco Museum Vol.3,PS,Misc,1996.0,Sony Computer Entertainment,227,16,nan,nan,nan,nan,nan
Chocobo Racing,PS,Racing,1999.0,SquareSoft,7,30,nan,nan,nan,nan,nan
WCW vs the World,PS,Fighting,1998.0,THQ,117,4,nan,nan,nan,nan,nan
Chocobo's Dungeon 2,PS,Role-Playing,1998.0,SquareSoft,4,57,nan,nan,nan,nan,nan
Way of the Samurai 2,PS2,Action,2003.0,Capcom,5,23,59.0,32.0,Acquire,9,24.0
Dynasty Warriors 5: Xtreme Legends,PS2,Action,2005.0,Tecmo Koei,11,35,57.0,22.0,Omega Force,9.1,26.0
WWE SmackDown vs. RAW 2007,PS2,Fighting,2006.0,THQ,140,3,80.0,27.0,Yuke's,8.6,57.0
Bully,PS2,Action,2006.0,Take-Two Interactive,75,4,87.0,69.0,Rockstar Vancouver,9.1,293.0
Monster Rancher EVO,PS2,Role-Playing,2005.0,Tecmo Koei,2,5,58.0,16.0,Tecmo,6.8,8.0
Yakuza 2,PS2,Adventure,2006.0,Sega,5,84,77.0,34.0,Amusement Vision,8.1,52.0
Disgaea 2: Cursed Memories,PS2,Role-Playing,2006.0,Tecmo Koei,9,15,84.0,54.0,Nippon Ichi Software,6.4,42.0
WWE SmackDown! Here Comes the Pain,PS2,Fighting,2003.0,THQ,132,4,nan,nan,nan,nan,nan
Phantasy Star Universe: Ambition of the Illuminus,PS2,Role-Playing,2007.0,Sega,10,5,nan,nan,Sonic Team,8.4,8.0
GrimGrimoire,PS2,Strategy,2007.0,Tecmo Koei,1,3,79.0,39.0,Vanilla Ware,7.9,17.0
Enter the Matrix,PS2,Action,2003.0,Atari,178,9,62.0,30.0,Shiny Entertainment,8.1,137.0
Resident Evil: Outbreak,PS2,Action,2003.0,Capcom,54,46,71.0,40.0,Capcom,8.3,94.0
Star Wars: The Force Unleashed,PS2,Action,2008.0,LucasArts,49,1,68.0,7.0,Krome Studios,7.4,33.0
WWE SmackDown! vs. Raw,PS2,Fighting,2002.0,THQ,132,4,nan,nan,nan,nan,nan
OutRun 2006: Coast 2 Coast,PS2,Racing,2006.0,Sega,2,1,81.0,42.0,Sumo Digital,8.8,17.0
Dirge of Cerberus: Final Fantasy VII,PS2,Shooter,2006.0,Square Enix,47,52,57.0,51.0,Square Enix,6.9,103.0
Parfait: Chocolat Second Style,PS2,Adventure,2006.0,Alchemist,59,1,nan,nan,nan,nan,nan
Dragon Ball Z: Budokai Tenkaichi,PS2,Fighting,2005.0,Atari,96,54,72.0,29.0,Spike,8.4,71.0
Rogue Galaxy,PS2,Role-Playing,2005.0,Sony Computer Entertainment,24,39,83.0,59.0,Level 5,8.4,89.0
Final Fantasy XII,PS2,Role-Playing,2006.0,Square Enix,188,233,92.0,64.0,Square Enix,7.6,972.0
Dragon Ball Z: Budokai 2,PS2,Fighting,2003.0,Atari,163,51,66.0,28.0,Dimps Corporation,8.2,92.0
NBA 2K2,PS2,Sports,2002.0,Sega,59,1,89.0,19.0,Visual Concepts,7.8,16.0
Dark Cloud 2,PS2,Role-Playing,2002.0,Sony Computer Entertainment,38,26,87.0,41.0,Level 5,9.1,174.0
Kingdom Hearts II,PS2,Role-Playing,2005.0,Square Enix,220,138,87.0,64.0,Square Enix,9,766.0
Grand Theft Auto: Liberty City Stories,PS2,Action,2006.0,Take-Two Interactive,156,7,78.0,49.0,Rockstar Leeds,7.8,112.0
WWE SmackDown! Shut Your Mouth,PS2,Sports,2002.0,THQ,145,7,nan,nan,nan,nan,nan
Warriors Orochi,PS2,Action,2007.0,Tecmo Koei,11,64,55.0,14.0,Omega Force,8.2,16.0
SOCOM 3: U.S. Navy SEALs,PS2,Shooter,2005.0,Sony Computer Entertainment,122,4,82.0,59.0,Zipper Interactive,8.8,64.0
Yakuza,PS2,Action,2005.0,Sega,3,74,75.0,58.0,Amusement Vision,8.2,73.0
Hot Shots Tennis,PS2,Sports,2006.0,Sony Computer Entertainment,17,55,70.0,44.0,Clap Hanz,8.1,8.0
Tokyo Xtreme Racer 3,PS2,Racing,2003.0,Genki,35,21,63.0,15.0,Genki,8.9,23.0
Radiata Stories,PS2,Role-Playing,2005.0,Square Enix,18,28,74.0,36.0,Tri-Ace,9,54.0
Dynasty Warriors 4,PS2,Action,2003.0,Tecmo Koei,63,112,78.0,24.0,Omega Force,9.3,201.0
Samurai Warriors: Xtreme Legends,PS2,Action,2004.0,Tecmo Koei,4,36,72.0,17.0,Omega Force,8.6,13.0
Armored Core: Nexus,PS2,Simulation,2004.0,Indie Games,6,14,73.0,19.0,From Software,8.7,7.0
Armored Core: Silent Line,PS2,Simulation,2003.0,Agetec,7,16,nan,nan,nan,nan,nan
Devil May Cry 2,PS2,Action,2003.0,Capcom,71,51,68.0,40.0,Capcom,6.6,167.0
Final Fantasy X,PS2,Role-Playing,2001.0,Sony Computer Entertainment,291,273,92.0,53.0,SquareSoft,8.7,1056.0
Super Dragon Ball Z,PS2,Fighting,2006.0,Atari,9,19,72.0,31.0,Crafts & Meister,5.8,21.0
Gran Turismo 3: A-Spec,PS2,Racing,2001.0,Sony Computer Entertainment,685,187,95.0,54.0,Polyphony Digital,8.4,314.0
Gallop Racer 2001,PS2,Sports,2001.0,Tecmo Koei,5,6,71.0,11.0,Tecmo,9.1,56.0
Ace Combat 04: Shattered Skies,PS2,Simulation,2001.0,Sony Computer Entertainment Europe,206,38,89.0,22.0,Namco,9.1,95.0
Klonoa 2: Lunatea's Veil,PS2,Platform,2001.0,Sony Computer Entertainment,12,8,91.0,18.0,Namco,9.1,72.0
Dynasty Warriors 3: Xtreme Legends,PS2,Action,2002.0,Tecmo Koei,13,74,72.0,16.0,Omega Force,9.3,54.0
Devil May Cry 3: Dante's Awakening,PS2,Action,2005.0,Capcom,99,28,84.0,60.0,Capcom,9,212.0
Mega Man X7,PS2,Action,2003.0,Capcom,22,14,58.0,30.0,"Valuewave Co.,Ltd.",5.1,38.0
Star Wars Episode III: Revenge of the Sith,PS2,Action,2005.0,LucasArts,147,3,60.0,34.0,Double Helix Games,7.2,82.0
Dino Stalker,PS2,Shooter,2002.0,Capcom,7,8,50.0,18.0,Capcom,6.3,8.0
Final Fantasy XI: Vana'diel Collection 2008,PS2,Role-Playing,2007.0,Square Enix,3,1,nan,nan,Square Enix,tbd,nan
Devil Kings,PS2,Action,2005.0,Capcom,3,18,64.0,27.0,Capcom,7.4,12.0
Clock Tower 3,PS2,Adventure,2002.0,Capcom,10,12,69.0,28.0,SunSoft,7.6,38.0
Test Drive,PS2,Racing,2002.0,Atari,95,1,73.0,19.0,Pitbull Syndicate,7.4,23.0
The Getaway: Black Monday,PS2,Action,2004.0,Sony Computer Entertainment,39,2,57.0,53.0,SCEE London Studio,7.6,47.0
Ratchet & Clank: Up Your Arsenal,PS2,Platform,2004.0,Sony Computer Entertainment,131,31,nan,nan,nan,nan,nan
Gallop Racer 2006,PS2,Sports,2005.0,Tecmo Koei,2,6,69.0,15.0,Tecmo,8.3,8.0
Marvel vs. Capcom 2: New Age of Heroes,PS2,Fighting,2002.0,Capcom,31,13,nan,nan,nan,nan,nan
Samurai Warriors 2,PS2,Action,2006.0,Tecmo Koei,2,56,58.0,26.0,Omega Force,8.8,13.0
Grand Theft Auto: San Andreas,PS2,Action,2004.0,Take-Two Interactive,943,41,95.0,80.0,Rockstar North,9,1588.0
Grandia Xtreme,PS2,Role-Playing,2002.0,Enix Corporation,7,25,68.0,16.0,Game Arts,6.5,15.0
Dynasty Warriors 2,PS2,Action,2000.0,THQ,24,34,75.0,17.0,Omega Force,8.8,24.0
The Getaway,PS2,Action,2002.0,Sony Computer Entertainment,123,5,72.0,49.0,Team Soho,6.8,88.0
Final Fantasy XI: Wings of the Goddess,PS2,Role-Playing,2007.0,Square Enix,35,9,nan,nan,Square Enix,tbd,nan
.hack//Mutation Part 2,PS2,Role-Playing,2002.0,Atari,23,20,76.0,24.0,CyberConnect2,8.9,81.0
The King of Fighters 2006,PS2,Fighting,2006.0,Ignition Entertainment,1,5,66.0,23.0,SNK Playmore,8.6,17.0
